id,name,maintenance_responsibility,installed,material,length,number_of_steps,schools_count,school_score,total_population,transit_rider_count,transit_score,detour_score,overall_score,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
326501686,10 Wakefield St,3rd Division,,Concrete,53.0,8.0,0.0,100.0,367.0,0.0,1.0,1.0,1.0,https://tools.wprdc.org/images/pittsburgh/steps/10_Wakefield_St.jpg,South Oakland,3.0,4,42003040900,3,4,4,2-11,40.43092643,-79.95709004
527853474,1005 St Martin St,4th Division,,Concrete,33.0,24.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/1005_St_Martin_St.jpg,South Side Slopes,3.0,17,42003170600,3,17,3,4-6,40.42240992,-79.98821521
1074700399,1017 St Martin St,4th Division,,Concrete,52.0,4.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/1017_St_Martin_St.jpg,South Side Slopes,3.0,17,42003170600,3,17,3,4-6,40.42247118,-79.98760433
50987987,30th St from Bigelow Blvd to Leander St,3rd Division,1948-01-01,Concrete,106.0,106.0,0.0,100.0,235.0,27.0,5.0,9.0,5.0,https://tools.wprdc.org/images/pittsburgh/steps/30th_St_from_Bigelow_Blvd_to_Leander_St.jpg,Bedford Dwellings,7.0,6,42003060500,3,6,2,2-24,40.45478729,-79.96845303
173445306,30th St from Paulowna to Bigelow Blvd,3rd Division,1948-01-01,Concrete,204.0,85.0,1.0,4.0,422.0,39.0,4.0,7.0,9.0,https://tools.wprdc.org/images/pittsburgh/steps/30th_St_from_Paulowna_to_Bigelow_Blvd.jpg,Polish Hill,7.0,6,42003060500,6,6,2,2-6,40.45547025,-79.96872548
1770071723,53rd St from Holmes St to Lotus Way West,2nd Division,1949-01-01,Concrete,105.0,44.0,1.0,8.0,1751.0,124.0,9.0,4.0,7.0,https://tools.wprdc.org/images/pittsburgh/steps/53rd_St_from_Holmes_St_to_Lotus_Way_West.jpg,Upper Lawrenceville,7.0,10,42003101100,2,10,2,3-5,40.4803416,-79.95013388
1298252202,53rd St from Lotus Way to Duncan St,2nd Division,1949-01-01,Concrete,106.0,17.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/53rd_St_from_Lotus_Way_to_Duncan_St.jpg,Upper Lawrenceville,7.0,10,42003101100,2,10,2,3-5,40.48010422,-79.94980444
1726357152,54th St from Wickliff to Camelia St,2nd Division,,Concrete,424.0,188.0,1.0,10.0,1227.0,31.0,8.0,7.0,8.0,https://tools.wprdc.org/images/pittsburgh/steps/54th_St_from_Wickliff_to_Camelia_St.jpg,Upper Lawrenceville,7.0,10,42003101800,2,10,2,3-5,40.47991519,-79.94730123
652746099,56th St from Carnegie St to Duncan St,2nd Division,1946-01-01,Concrete,468.0,249.0,0.0,100.0,507.0,178.0,7.0,5.0,7.0,https://tools.wprdc.org/images/pittsburgh/steps/56th_St_from_Carnegie_St_to_Duncan_St.jpg,Upper Lawrenceville,7.0,10,42003101100,2,10,2,3-5,40.48332958,-79.9468158
1945192976,56th St from Celadine St to Alford Way,2nd Division,,Wood,36.0,8.0,0.0,100.0,422.0,8.0,3.0,7.0,3.0,https://tools.wprdc.org/images/pittsburgh/steps/56th_St_from_Celadine_St_to_Alford_Way.jpg,Stanton Heights,7.0,10,42003101800,2,10,5,3-5,40.48217592,-79.94427348
249264327,56th St from Duncan to Wickliff St,2nd Division,1946-01-01,Concrete,167.0,26.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/56th_St_from_Duncan_to_Wickliff_St.jpg,Upper Lawrenceville,7.0,10,42003101100,2,10,2,3-5,40.48262529,-79.94593166
